,date,race,id
1,2016-07-01,Black,1327
3,2016-07-01,Latinx,876
4,2016-07-01,White,1132
6,2016-07-02,Black,1317
8,2016-07-02,Latinx,874
9,2016-07-02,White,1118
11,2016-07-03,Black,1321
13,2016-07-03,Latinx,874
14,2016-07-03,White,1121
16,2016-07-04,Black,1326
18,2016-07-04,Latinx,873
19,2016-07-04,White,1122
21,2016-07-05,Black,1313
23,2016-07-05,Latinx,870
24,2016-07-05,White,1118
26,2016-07-06,Black,1329
28,2016-07-06,Latinx,891
29,2016-07-06,White,1141
31,2016-07-07,Black,1339
33,2016-07-07,Latinx,879
34,2016-07-07,White,1124
36,2016-07-08,Black,1338
38,2016-07-08,Latinx,870
39,2016-07-08,White,1137
41,2016-07-09,Black,1341
43,2016-07-09,Latinx,870
44,2016-07-09,White,1136
46,2016-07-10,Black,1341
48,2016-07-10,Latinx,870
49,2016-07-10,White,1137
51,2016-07-11,Black,1340
53,2016-07-11,Latinx,870
54,2016-07-11,White,1140
56,2016-07-12,Black,1343
58,2016-07-12,Latinx,854
59,2016-07-12,White,1139
61,2016-07-13,Black,1346
63,2016-07-13,Latinx,854
64,2016-07-13,White,1138
66,2016-07-14,Black,1340
68,2016-07-14,Latinx,852
69,2016-07-14,White,1120
71,2016-07-15,Black,1349
73,2016-07-15,Latinx,852
74,2016-07-15,White,1116
76,2016-07-16,Black,1322
78,2016-07-16,Latinx,846
79,2016-07-16,White,1110
81,2016-07-17,Black,1322
83,2016-07-17,Latinx,846
84,2016-07-17,White,1112
86,2016-07-18,Black,1319
88,2016-07-18,Latinx,846
89,2016-07-18,White,1114
91,2016-07-19,Black,1308
93,2016-07-19,Latinx,845
94,2016-07-19,White,1115
96,2016-07-20,Black,1309
98,2016-07-20,Latinx,852
99,2016-07-20,White,1112
101,2016-07-21,Black,1317
103,2016-07-21,Latinx,856
104,2016-07-21,White,1115
106,2016-07-22,Black,1313
108,2016-07-22,Latinx,856
109,2016-07-22,White,1098
111,2016-07-23,Black,1318
113,2016-07-23,Latinx,855
114,2016-07-23,White,1102
116,2016-07-24,Black,1318
118,2016-07-24,Latinx,855
119,2016-07-24,White,1102
121,2016-07-25,Black,1318
123,2016-07-25,Latinx,854
124,2016-07-25,White,1106
126,2016-07-26,Black,1313
128,2016-07-26,Latinx,859
129,2016-07-26,White,1108
131,2016-07-27,Black,1309
133,2016-07-27,Latinx,855
134,2016-07-27,White,1118
136,2016-07-28,Black,1315
138,2016-07-28,Latinx,854
139,2016-07-28,White,1111
141,2016-07-29,Black,1309
143,2016-07-29,Latinx,841
144,2016-07-29,White,1105
146,2016-07-30,Black,1304
148,2016-07-30,Latinx,842
149,2016-07-30,White,1115
151,2016-07-31,Black,1303
153,2016-07-31,Latinx,842
154,2016-07-31,White,1118
156,2016-08-01,Black,1305
158,2016-08-01,Latinx,844
159,2016-08-01,White,1117
161,2016-08-03,Black,1299
163,2016-08-03,Latinx,865
164,2016-08-03,White,1127
166,2016-08-04,Black,1292
168,2016-08-04,Latinx,860
169,2016-08-04,White,1121
171,2016-08-05,Black,1291
173,2016-08-05,Latinx,861
174,2016-08-05,White,1118
176,2016-08-06,Black,1295
178,2016-08-06,Latinx,859
179,2016-08-06,White,1131
181,2016-08-07,Black,1297
183,2016-08-07,Latinx,860
184,2016-08-07,White,1135
186,2016-08-08,Black,1294
188,2016-08-08,Latinx,860
189,2016-08-08,White,1135
191,2016-08-09,Black,1310
193,2016-08-09,Latinx,864
194,2016-08-09,White,1144
196,2016-08-10,Black,1307
198,2016-08-10,Latinx,867
199,2016-08-10,White,1147
201,2016-08-11,Black,1298
203,2016-08-11,Latinx,859
204,2016-08-11,White,1148
206,2016-08-12,Black,1295
208,2016-08-12,Latinx,853
209,2016-08-12,White,1143
211,2016-08-13,Black,1285
213,2016-08-13,Latinx,859
214,2016-08-13,White,1150
216,2016-08-14,Black,1287
218,2016-08-14,Latinx,857
219,2016-08-14,White,1149
221,2016-08-15,Black,1285
223,2016-08-15,Latinx,857
224,2016-08-15,White,1150
226,2016-08-16,Black,1295
228,2016-08-16,Latinx,864
229,2016-08-16,White,1163
231,2016-08-17,Black,1302
233,2016-08-17,Latinx,868
234,2016-08-17,White,1161
236,2016-08-18,Black,1302
238,2016-08-18,Latinx,868
239,2016-08-18,White,1158
241,2016-08-19,Black,1306
243,2016-08-19,Latinx,875
244,2016-08-19,White,1151
246,2016-09-07,Black,1315
248,2016-09-07,Latinx,877
249,2016-09-07,White,1154
251,2016-09-08,Black,1301
253,2016-09-08,Latinx,871
254,2016-09-08,White,1147
256,2016-09-09,Black,1299
258,2016-09-09,Latinx,873
259,2016-09-09,White,1146
261,2016-09-12,Black,1294
263,2016-09-12,Latinx,872
264,2016-09-12,White,1155
266,2016-09-13,Black,1289
268,2016-09-13,Latinx,879
269,2016-09-13,White,1151
271,2016-09-14,Black,1299
273,2016-09-14,Latinx,879
274,2016-09-14,White,1157
276,2016-09-15,Black,1311
278,2016-09-15,Latinx,878
279,2016-09-15,White,1162
281,2016-09-16,Black,1313
283,2016-09-16,Latinx,872
284,2016-09-16,White,1173
286,2016-09-19,Black,1299
288,2016-09-19,Latinx,872
289,2016-09-19,White,1169
291,2016-10-04,Black,1317
293,2016-10-04,Latinx,894
294,2016-10-04,White,1193
296,2016-10-05,Black,1330
298,2016-10-05,Latinx,898
299,2016-10-05,White,1204
301,2016-10-06,Black,1323
303,2016-10-06,Latinx,887
304,2016-10-06,White,1215
306,2016-10-07,Black,1321
308,2016-10-07,Latinx,883
309,2016-10-07,White,1208
311,2016-10-08,Black,1301
313,2016-10-08,Latinx,879
314,2016-10-08,White,1189
316,2016-10-09,Black,1300
318,2016-10-09,Latinx,879
319,2016-10-09,White,1189
321,2016-10-11,Black,1279
323,2016-10-11,Latinx,869
324,2016-10-11,White,1185
326,2016-10-12,Black,1299
328,2016-10-12,Latinx,886
329,2016-10-12,White,1195
331,2016-10-13,Black,1308
333,2016-10-13,Latinx,888
334,2016-10-13,White,1199
336,2016-10-14,Black,1306
338,2016-10-14,Latinx,875
339,2016-10-14,White,1208
341,2016-10-15,Black,1299
343,2016-10-15,Latinx,862
344,2016-10-15,White,1208
346,2016-10-16,Black,1299
348,2016-10-16,Latinx,861
349,2016-10-16,White,1215
351,2016-10-17,Black,1299
353,2016-10-17,Latinx,862
354,2016-10-17,White,1218
356,2016-10-18,Black,1304
358,2016-10-18,Latinx,861
359,2016-10-18,White,1215
361,2016-10-19,Black,1309
363,2016-10-19,Latinx,877
364,2016-10-19,White,1217
366,2016-10-20,Black,1311
368,2016-10-20,Latinx,862
369,2016-10-20,White,1221
371,2016-10-21,Black,1321
373,2016-10-21,Latinx,863
374,2016-10-21,White,1218
376,2016-10-22,Black,1334
378,2016-10-22,Latinx,860
379,2016-10-22,White,1204
381,2016-10-23,Black,1333
383,2016-10-23,Latinx,860
384,2016-10-23,White,1205
386,2016-10-24,Black,1331
388,2016-10-24,Latinx,857
389,2016-10-24,White,1207
391,2016-10-25,Black,1344
393,2016-10-25,Latinx,864
394,2016-10-25,White,1217
396,2016-10-26,Black,1336
398,2016-10-26,Latinx,861
399,2016-10-26,White,1213
401,2016-10-27,Black,1336
403,2016-10-27,Latinx,864
404,2016-10-27,White,1214
406,2016-10-28,Black,1328
408,2016-10-28,Latinx,866
409,2016-10-28,White,1210
411,2016-10-29,Black,1319
413,2016-10-29,Latinx,861
414,2016-10-29,White,1205
416,2016-10-30,Black,1317
418,2016-10-30,Latinx,863
419,2016-10-30,White,1206
421,2016-10-31,Black,1317
423,2016-10-31,Latinx,863
424,2016-10-31,White,1207
426,2016-11-01,Black,1318
428,2016-11-01,Latinx,864
429,2016-11-01,White,1211
431,2016-11-02,Black,1313
433,2016-11-02,Latinx,864
434,2016-11-02,White,1213
436,2016-11-03,Black,1314
438,2016-11-03,Latinx,857
439,2016-11-03,White,1194
441,2016-11-04,Black,1317
443,2016-11-04,Latinx,856
444,2016-11-04,White,1185
446,2016-11-05,Black,1312
448,2016-11-05,Latinx,848
449,2016-11-05,White,1179
451,2016-11-06,Black,1312
453,2016-11-06,Latinx,848
454,2016-11-06,White,1179
456,2016-11-07,Black,1309
458,2016-11-07,Latinx,848
459,2016-11-07,White,1178
461,2016-11-08,Black,1302
463,2016-11-08,Latinx,843
464,2016-11-08,White,1183
466,2016-11-09,Black,1302
468,2016-11-09,Latinx,851
469,2016-11-09,White,1182
471,2016-11-10,Black,1297
473,2016-11-10,Latinx,851
474,2016-11-10,White,1175
476,2016-11-11,Black,1302
478,2016-11-11,Latinx,858
479,2016-11-11,White,1162
481,2016-11-12,Black,1300
483,2016-11-12,Latinx,858
484,2016-11-12,White,1162
486,2016-11-13,Black,1300
488,2016-11-13,Latinx,860
489,2016-11-13,White,1163
491,2016-11-14,Black,1300
493,2016-11-14,Latinx,860
494,2016-11-14,White,1160
496,2016-11-15,Black,1316
498,2016-11-15,Latinx,863
499,2016-11-15,White,1163
501,2016-11-16,Black,1336
503,2016-11-16,Latinx,868
504,2016-11-16,White,1169
506,2016-11-17,Black,1325
508,2016-11-17,Latinx,862
509,2016-11-17,White,1165
511,2016-11-18,Black,1318
513,2016-11-18,Latinx,860
514,2016-11-18,White,1165
516,2016-11-19,Black,1305
518,2016-11-19,Latinx,860
519,2016-11-19,White,1161
521,2016-11-20,Black,1305
523,2016-11-20,Latinx,861
524,2016-11-20,White,1162
526,2016-11-21,Black,1300
528,2016-11-21,Latinx,861
529,2016-11-21,White,1166
531,2016-12-01,Black,1308
533,2016-12-01,Latinx,853
534,2016-12-01,White,1175
536,2016-12-02,Black,1305
538,2016-12-02,Latinx,855
539,2016-12-02,White,1166
541,2016-12-03,Black,1309
543,2016-12-03,Latinx,844
544,2016-12-03,White,1173
546,2016-12-04,Black,1311
548,2016-12-04,Latinx,844
549,2016-12-04,White,1173
551,2016-12-05,Black,1311
553,2016-12-05,Latinx,845
554,2016-12-05,White,1173
556,2016-12-06,Black,1315
558,2016-12-06,Latinx,857
559,2016-12-06,White,1155
561,2016-12-07,Black,1316
563,2016-12-07,Latinx,858
564,2016-12-07,White,1159
566,2016-12-08,Black,1315
568,2016-12-08,Latinx,847
569,2016-12-08,White,1139
571,2016-12-09,Black,1330
573,2016-12-09,Latinx,854
574,2016-12-09,White,1146
576,2016-12-10,Black,1339
578,2016-12-10,Latinx,858
579,2016-12-10,White,1138
581,2016-12-11,Black,1341
583,2016-12-11,Latinx,857
584,2016-12-11,White,1133
586,2016-12-12,Black,1341
588,2016-12-12,Latinx,857
589,2016-12-12,White,1133
591,2016-12-13,Black,1341
593,2016-12-13,Latinx,848
594,2016-12-13,White,1133
596,2016-12-14,Black,1335
598,2016-12-14,Latinx,854
599,2016-12-14,White,1129
601,2016-12-15,Black,1314
603,2016-12-15,Latinx,850
604,2016-12-15,White,1131
606,2016-12-16,Black,1315
608,2016-12-16,Latinx,856
609,2016-12-16,White,1115
611,2016-12-17,Black,1312
613,2016-12-17,Latinx,843
614,2016-12-17,White,1113
616,2016-12-18,Black,1312
618,2016-12-18,Latinx,843
619,2016-12-18,White,1116
621,2016-12-19,Black,1309
623,2016-12-19,Latinx,839
624,2016-12-19,White,1115
626,2016-12-20,Black,1287
628,2016-12-20,Latinx,830
629,2016-12-20,White,1107
631,2016-12-21,Black,1298
633,2016-12-21,Latinx,822
634,2016-12-21,White,1104
636,2016-12-22,Black,1286
638,2016-12-22,Latinx,812
639,2016-12-22,White,1099
641,2016-12-23,Black,1279
643,2016-12-23,Latinx,806
644,2016-12-23,White,1086
646,2016-12-24,Black,1281
648,2016-12-24,Latinx,813
649,2016-12-24,White,1084
651,2016-12-25,Black,1282
653,2016-12-25,Latinx,811
654,2016-12-25,White,1085
656,2016-12-26,Black,1279
658,2016-12-26,Latinx,809
659,2016-12-26,White,1086
661,2016-12-27,Black,1277
663,2016-12-27,Latinx,810
664,2016-12-27,White,1087
666,2016-12-28,Black,1301
668,2016-12-28,Latinx,819
669,2016-12-28,White,1093
671,2016-12-29,Black,1303
673,2016-12-29,Latinx,829
674,2016-12-29,White,1107
676,2016-12-30,Black,1318
678,2016-12-30,Latinx,833
679,2016-12-30,White,1109
681,2016-12-31,Black,1318
683,2016-12-31,Latinx,829
684,2016-12-31,White,1119
686,2017-01-01,Black,1319
688,2017-01-01,Latinx,829
689,2017-01-01,White,1122
691,2017-01-02,Black,1319
693,2017-01-02,Latinx,829
694,2017-01-02,White,1126
696,2017-01-03,Black,1320
698,2017-01-03,Latinx,829
699,2017-01-03,White,1125
701,2017-01-04,Black,1329
703,2017-01-04,Latinx,842
704,2017-01-04,White,1135
706,2017-01-05,Black,1323
708,2017-01-05,Latinx,840
709,2017-01-05,White,1128
711,2017-01-06,Black,1325
713,2017-01-06,Latinx,827
714,2017-01-06,White,1116
716,2017-01-07,Black,1319
718,2017-01-07,Latinx,818
719,2017-01-07,White,1114
721,2017-01-08,Black,1319
723,2017-01-08,Latinx,819
724,2017-01-08,White,1114
726,2017-01-09,Black,1318
728,2017-01-09,Latinx,819
729,2017-01-09,White,1116
731,2017-01-10,Black,1314
733,2017-01-10,Latinx,821
734,2017-01-10,White,1132
736,2017-01-11,Black,1318
738,2017-01-11,Latinx,816
739,2017-01-11,White,1133
741,2017-01-12,Black,1318
743,2017-01-12,Latinx,819
744,2017-01-12,White,1129
746,2017-01-13,Black,1310
748,2017-01-13,Latinx,815
749,2017-01-13,White,1118
751,2017-01-14,Black,1308
753,2017-01-14,Latinx,814
754,2017-01-14,White,1119
756,2017-01-15,Black,1308
758,2017-01-15,Latinx,814
759,2017-01-15,White,1121
761,2017-01-16,Black,1306
763,2017-01-16,Latinx,815
764,2017-01-16,White,1127
766,2017-01-17,Black,1297
768,2017-01-17,Latinx,804
769,2017-01-17,White,1124
771,2017-01-18,Black,1327
773,2017-01-18,Latinx,833
774,2017-01-18,White,1146
776,2017-01-19,Black,1331
778,2017-01-19,Latinx,825
779,2017-01-19,White,1147
781,2017-01-20,Black,1331
783,2017-01-20,Latinx,828
784,2017-01-20,White,1136
